Delta	B2	power
13.5	20	0.6671190682435385
13.600000000000001	2	0.6142204903024632
13.600000000000001	5	0.6599790573437301
13.600000000000001	10	0.6506148599579776
13.600000000000001	20	0.6606582912105834
13.700000000000001	2	0.6268233070756759
13.700000000000001	5	0.6558987177946316
13.700000000000001	10	0.6596028433549539
13.700000000000001	20	0.6625595469998852
13.8	2	0.6087814308675151
13.8	5	0.6543858466587634
13.8	10	0.6609727653171864
13.8	20	0.6451531547642628
13.9	2	0.6227944917414348
13.9	5	0.6604896142244648
13.9	10	0.6478636511768794
13.9	20	0.6509946859708032
14	2	0.6097508263449344
14	5	0.6551054016318398
14	10	0.643778017517558
14	20	0.6593912930522943
14.100000000000001	2	0.6045509874288734
14.100000000000001	5	0.6553502600261792
14.100000000000001	10	0.6584576464595698
14.100000000000001	20	0.656900142209505
14.200000000000001	2	0.6232426508361365
14.200000000000001	5	0.6506806527263966
14.200000000000001	10	0.6387600968430204
14.200000000000001	20	0.6523885944184904
14.3	2	0.6069723282144615
14.3	5	0.6548584262606214
14.3	10	0.6504635622934299
14.3	20	0.6595387967890496
14.4	2	0.6091090929653906
14.4	5	0.647727537027514
14.4	10	0.6479029372505998
14.4	20	0.6409450429599245
14.5	2	0.6218469352748818
14.5	5	0.6483774623520371
14.5	10	0.6454474400680995
14.5	20	0.6447727392598339
14.600000000000001	2	0.6084167996587183
14.600000000000001	5	0.6523981100185232
14.600000000000001	10	0.6471188148696533
14.600000000000001	20	0.6464672109525821
14.700000000000001	2	0.6014916873249069
14.700000000000001	5	0.6514952141578202
14.700000000000001	10	0.6242898963943742
14.700000000000001	20	0.6418114948227015
14.8	2	0.6139011989082105
14.8	5	0.6395705880762671
14.8	10	0.6522253084750208
14.8	20	0.6494120121073361
14.9	2	0.6135025124692829
14.9	5	0.6495541544906286
14.9	10	0.6436643958664464
14.9	20	0.6368036741287504
15	2	0.6036157474418934
15	5	0.6339946848740105
15	10	0.6384282692229576
15	20	0.6396058582834808
